0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:16:42 +0900] "GET /petti/resources/js/free/free_register.js HTTP/1.1" 200 3768
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:17:17 +0900] "POST /petti/free/files/upload HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:17:17 +0900] "GET /petti/free/files/display?fileName=2023%2F09%2F12%2Fs_dd2c65a0-daca-4089-a05f-cbdebb6afa21_%ED%92%8D%EA%B2%BD.jpg HTTP/1.1" 200 870
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:17:19 +0900] "POST /petti/free/register HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:17:19 +0900] "GET /petti/free/list HTTP/1.1" 200 15867
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:17:19 +0900] "GET /petti/resources/images/logo.png HTTP/1.1" 200 6761
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:17:23 +0900] "GET /petti/free/get?pageNum=1&amount=10&cno=0&recommend=F&bno=217 HTTP/1.1" 200 10353
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:17:23 +0900] "GET /petti/resources/js/free/free_get.js HTTP/1.1" 200 2016
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:17:23 +0900] "GET /petti/resources/images/logo.png HTTP/1.1" 200 6761
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:17:23 +0900] "GET /petti/resources/js/free/free_replyService.js HTTP/1.1" 200 1663
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:17:23 +0900] "GET /petti/resources/js/free/free_reply.js HTTP/1.1" 200 6233
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:17:23 +0900] "GET /petti/free/getAttachList?bno=217 HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:17:23 +0900] "GET /petti/free/files/display?fileName=2023%2F09%2F12%2Fs_dd2c65a0-daca-4089-a05f-cbdebb6afa21_%ED%92%8D%EA%B2%BD.jpg HTTP/1.1" 200 870
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:17:23 +0900] "GET /petti/freeReplies/pages/1/217 HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:17:26 +0900] "POST /petti/free/like HTTP/1.1" 200 41
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:17:43 +0900] "POST /petti/member/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:17:43 +0900] "GET /petti/login?logout HTTP/1.1" 200 5729
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:17:43 +0900] "GET /petti/resources/images/logo.png HTTP/1.1" 200 6761
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:17:48 +0900] "POST /petti/user/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:17:48 +0900] "GET /petti/free/get?pageNum=1&amount=10&cno=0&recommend=F&bno=217 HTTP/1.1" 200 10412
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:17:48 +0900] "GET /petti/resources/images/logo.png HTTP/1.1" 200 6761
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:17:48 +0900] "GET /petti/resources/js/free/free_get.js HTTP/1.1" 200 2016
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:17:48 +0900] "GET /petti/resources/js/free/free_replyService.js HTTP/1.1" 200 1663
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:17:48 +0900] "GET /petti/resources/js/free/free_reply.js HTTP/1.1" 200 6233
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:17:48 +0900] "GET /petti/free/getAttachList?bno=217 HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:17:48 +0900] "GET /petti/freeReplies/pages/1/217 HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:17:48 +0900] "GET /petti/free/files/display?fileName=2023%2F09%2F12%2Fs_dd2c65a0-daca-4089-a05f-cbdebb6afa21_%ED%92%8D%EA%B2%BD.jpg HTTP/1.1" 200 870
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:33:22 +0900] "GET /petti/product/list HTTP/1.1" 200 22862
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:33:22 +0900] "GET /petti/resources/images/logo.png HTTP/1.1" 200 6761
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:33:22 +0900] "GET /petti/product/files/display?fileName=2023/08/30/993efca1-bfdb-4808-b0f7-a517ab661b3f_%EA%B3%A0%EC%96%91%EC%9D%B4%20(1).jpg HTTP/1.1" 200 514020
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:33:22 +0900] "GET /petti/product/files/display?fileName=2023/08/31/0779db5c-93e9-4607-889c-be85ff2cf312_%EA%B3%A0%EC%96%91%EC%9D%B4%20(3).jpg HTTP/1.1" 200 484480
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:33:22 +0900] "GET /petti/product/files/display?fileName=2023/08/31/792f9b42-1992-4731-bd5e-2feca9ade97c_%EA%B3%A0%EC%96%91%EC%9D%B4%20(2).jpg HTTP/1.1" 200 1402007
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:33:22 +0900] "GET /petti/product/files/display?fileName=2023/08/31/5cf252ae-23ff-47ab-a6b7-111a4781c8ee_%EA%B3%A0%EC%96%91%EC%9D%B4%20(4).jpg HTTP/1.1" 200 988061
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:33:22 +0900] "GET /petti/product/files/display?fileName=2023/08/31/bd2d96ce-361b-4c7d-9eab-8a6f0e155d36_%EA%B3%A0%EC%96%91%EC%9D%B4%20(7).jpg HTTP/1.1" 200 526307
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:33:22 +0900] "GET /petti/product/files/display?fileName=2023/08/31/728f83d6-f79f-4079-af19-40c9e53b7d46_%EA%B3%A0%EC%96%91%EC%9D%B4%20(4).jpg HTTP/1.1" 200 988061
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:33:25 +0900] "GET /petti/product/get?pageNum=1&amount=10&radio=0&pno=128 HTTP/1.1" 200 10194
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:33:25 +0900] "GET /petti/resources/images/logo.png HTTP/1.1" 200 6761
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:33:25 +0900] "GET /petti/resources/js/product/product_get.js HTTP/1.1" 200 1999
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:33:25 +0900] "GET /petti/resources/js/product/product_reply.js HTTP/1.1" 200 7023
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:33:25 +0900] "GET /petti/resources/js/product/product_replyService.js HTTP/1.1" 200 2004
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:33:25 +0900] "GET /petti/product/getAttachList?pno=128 HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:33:25 +0900] "GET /petti/product/files/display?fileName=2023%2F08%2F30%2Fs_993efca1-bfdb-4808-b0f7-a517ab661b3f_%EA%B3%A0%EC%96%91%EC%9D%B4%20(1).jpg HTTP/1.1" 200 1281
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:33:25 +0900] "GET /petti/productReplies/pages/1/128 HTTP/1.1" 200 311
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:33:25 +0900] "GET /petti/resources/images/userImage.png HTTP/1.1" 200 75899
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:33:35 +0900] "POST /petti/productReplies/pages/128 HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:33:39 +0900] "POST /petti/member/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:33:39 +0900] "GET /petti/login?logout HTTP/1.1" 200 5729
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:33:39 +0900] "GET /petti/resources/images/logo.png HTTP/1.1" 200 6761
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:33:48 +0900] "POST /petti/user/login HTTP/1.1" 200 5593
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:33:48 +0900] "GET /petti/resources/images/logo.png HTTP/1.1" 200 6761
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:33:55 +0900] "POST /petti/user/login HTTP/1.1" 200 5593
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:33:55 +0900] "GET /petti/resources/images/logo.png HTTP/1.1" 200 6761
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:33:58 +0900] "POST /petti/user/login HTTP/1.1" 200 5593
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:33:58 +0900] "GET /petti/resources/images/logo.png HTTP/1.1" 200 6761
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:34:12 +0900] "POST /petti/user/login HTTP/1.1" 200 5593
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:34:12 +0900] "GET /petti/resources/images/logo.png HTTP/1.1" 200 6761
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:34:15 +0900] "POST /petti/user/login HTTP/1.1" 200 5593
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:34:15 +0900] "GET /petti/resources/images/logo.png HTTP/1.1" 200 6761
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:34:16 +0900] "GET /petti/free/list HTTP/1.1" 200 15569
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:34:16 +0900] "GET /petti/resources/images/logo.png HTTP/1.1" 200 6761
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:34:19 +0900] "GET /petti/login HTTP/1.1" 200 5729
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:34:19 +0900] "GET /petti/resources/images/logo.png HTTP/1.1" 200 6761
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:34:33 +0900] "GET /petti/findMemberInfo HTTP/1.1" 200 6236
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:34:33 +0900] "GET /petti/resources/images/logo.png HTTP/1.1" 200 6761
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:34:36 +0900] "GET /petti/login HTTP/1.1" 200 5729
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:34:38 +0900] "POST /petti/user/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:34:38 +0900] "GET /petti/free/list HTTP/1.1" 200 15840
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:34:38 +0900] "GET /petti/resources/images/logo.png HTTP/1.1" 200 6761
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:34:41 +0900] "GET /petti/product/list HTTP/1.1" 200 22859
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:34:41 +0900] "GET /petti/resources/images/logo.png HTTP/1.1" 200 6761
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:34:41 +0900] "GET /petti/product/files/display?fileName=2023/08/30/993efca1-bfdb-4808-b0f7-a517ab661b3f_%EA%B3%A0%EC%96%91%EC%9D%B4%20(1).jpg HTTP/1.1" 200 514020
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:34:41 +0900] "GET /petti/product/files/display?fileName=2023/08/31/0779db5c-93e9-4607-889c-be85ff2cf312_%EA%B3%A0%EC%96%91%EC%9D%B4%20(3).jpg HTTP/1.1" 200 484480
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:34:41 +0900] "GET /petti/product/files/display?fileName=2023/08/31/5cf252ae-23ff-47ab-a6b7-111a4781c8ee_%EA%B3%A0%EC%96%91%EC%9D%B4%20(4).jpg HTTP/1.1" 200 988061
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:34:41 +0900] "GET /petti/product/files/display?fileName=2023/08/31/bd2d96ce-361b-4c7d-9eab-8a6f0e155d36_%EA%B3%A0%EC%96%91%EC%9D%B4%20(7).jpg HTTP/1.1" 200 526307
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:34:41 +0900] "GET /petti/product/files/display?fileName=2023/08/31/792f9b42-1992-4731-bd5e-2feca9ade97c_%EA%B3%A0%EC%96%91%EC%9D%B4%20(2).jpg HTTP/1.1" 200 1402007
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:34:41 +0900] "GET /petti/product/files/display?fileName=2023/08/31/728f83d6-f79f-4079-af19-40c9e53b7d46_%EA%B3%A0%EC%96%91%EC%9D%B4%20(4).jpg HTTP/1.1" 200 988061
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:34:43 +0900] "GET /petti/product/get?pageNum=1&amount=10&radio=0&pno=128 HTTP/1.1" 200 10187
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:34:43 +0900] "GET /petti/resources/js/product/product_get.js HTTP/1.1" 200 1999
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:34:43 +0900] "GET /petti/resources/images/logo.png HTTP/1.1" 200 6761
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:34:43 +0900] "GET /petti/resources/js/product/product_replyService.js HTTP/1.1" 200 2004
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:34:43 +0900] "GET /petti/resources/js/product/product_reply.js HTTP/1.1" 200 7023
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:34:43 +0900] "GET /petti/product/getAttachList?pno=128 HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:34:43 +0900] "GET /petti/productReplies/pages/1/128 HTTP/1.1" 200 311
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:34:43 +0900] "GET /petti/product/files/display?fileName=2023%2F08%2F30%2Fs_993efca1-bfdb-4808-b0f7-a517ab661b3f_%EA%B3%A0%EC%96%91%EC%9D%B4%20(1).jpg HTTP/1.1" 200 1281
