0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:19:25 +0900] "GET /petti/resources/js/free/free_get.js HTTP/1.1" 200 2001
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:19:25 +0900] "GET /petti/resources/images/userImage.png HTTP/1.1" 200 75899
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:19:25 +0900] "GET /petti/resources/js/free/free_replyService.js HTTP/1.1" 200 1663
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:19:25 +0900] "GET /petti/resources/js/free/free_reply.js HTTP/1.1" 200 6240
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:19:25 +0900] "GET /petti/free/getAttachList?bno=854 HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:19:25 +0900] "GET /petti/freeReplies/pages/1/854 HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:19:25 +0900] "GET /petti/files/display?fileName=2023%2F08%2F23%2Fs_a26ffbbd-b394-455e-bd40-85e07ddf6c38_%EA%B3%A0%EC%96%91%EC%9D%B4.jpg HTTP/1.1" 200 1269
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:19:25 +0900] "GET /petti/resources/images/userImage.png HTTP/1.1" 200 75899
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:19:27 +0900] "GET /petti/free/modify?bno=854&pageNum=1&amount=10 HTTP/1.1" 200 8725
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:19:27 +0900] "GET /petti/resources/js/free/free_modify.js HTTP/1.1" 200 7786
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:19:27 +0900] "GET /petti/free/getAttachList?bno=854 HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:19:27 +0900] "GET /petti/files/display?fileName=2023%2F08%2F23%2Fs_a26ffbbd-b394-455e-bd40-85e07ddf6c38_%EA%B3%A0%EC%96%91%EC%9D%B4.jpg HTTP/1.1" 200 1269
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:19:35 +0900] "GET /petti/board/getAttachFileInfo?uuid=a26ffbbd-b394-455e-bd40-85e07ddf6c38 HTTP/1.1" 404 189
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:19:42 +0900] "GET /petti/board/getAttachFileInfo?uuid=a26ffbbd-b394-455e-bd40-85e07ddf6c38 HTTP/1.1" 404 189
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:20:24 +0900] "GET /petti/free/list HTTP/1.1" 200 14827
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:20:26 +0900] "GET /petti/free/get?pageNum=1&amount=10&cno=0&recommend=F&bno=854 HTTP/1.1" 200 9766
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:20:26 +0900] "GET /petti/resources/images/userImage.png HTTP/1.1" 200 75899
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:20:26 +0900] "GET /petti/resources/js/free/free_get.js HTTP/1.1" 200 2001
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:20:26 +0900] "GET /petti/resources/js/free/free_replyService.js HTTP/1.1" 200 1663
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:20:26 +0900] "GET /petti/resources/js/free/free_reply.js HTTP/1.1" 200 6240
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:20:26 +0900] "GET /petti/free/getAttachList?bno=854 HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:20:26 +0900] "GET /petti/freeReplies/pages/1/854 HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:20:26 +0900] "GET /petti/files/display?fileName=2023%2F08%2F23%2Fs_a26ffbbd-b394-455e-bd40-85e07ddf6c38_%EA%B3%A0%EC%96%91%EC%9D%B4.jpg HTTP/1.1" 200 1269
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:20:26 +0900] "GET /petti/resources/images/userImage.png HTTP/1.1" 200 75899
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:20:28 +0900] "GET /petti/free/modify?bno=854&pageNum=1&amount=10 HTTP/1.1" 200 8725
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:20:28 +0900] "GET /petti/resources/js/free/free_modify.js HTTP/1.1" 200 7785
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:20:28 +0900] "GET /petti/free/getAttachList?bno=854 HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:20:28 +0900] "GET /petti/files/display?fileName=2023%2F08%2F23%2Fs_a26ffbbd-b394-455e-bd40-85e07ddf6c38_%EA%B3%A0%EC%96%91%EC%9D%B4.jpg HTTP/1.1" 200 1269
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:20:31 +0900] "GET /petti/free/getAttachFileInfo?uuid=a26ffbbd-b394-455e-bd40-85e07ddf6c38 HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:20:36 +0900] "GET /petti/files/display?fileName=2023%2F08%2F23%2Fa26ffbbd-b394-455e-bd40-85e07ddf6c38_%EA%B3%A0%EC%96%91%EC%9D%B4.jpg HTTP/1.1" 200 1694
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:20:37 +0900] "GET /petti/files/display?fileName=2023%2F08%2F23%2Fa26ffbbd-b394-455e-bd40-85e07ddf6c38_%EA%B3%A0%EC%96%91%EC%9D%B4.jpg HTTP/1.1" 200 1694
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:20:38 +0900] "GET /petti/files/display?fileName=2023%2F08%2F23%2Fa26ffbbd-b394-455e-bd40-85e07ddf6c38_%EA%B3%A0%EC%96%91%EC%9D%B4.jpg HTTP/1.1" 200 1694
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:21:05 +0900] "POST /petti/files/upload HTTP/1.1" 200 168
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:21:05 +0900] "GET /petti/files/display?fileName=2023%2F08%2F24%2Fs_4557f183-8328-4500-b959-56fb8eb3caa2_%EA%B3%A0%EC%96%91%EC%9D%B4%20-%20%EB%B3%B5%EC%82%AC%EB%B3%B8%20-%20%EB%B3%B5%EC%82%AC%EB%B3%B8%20(2).jpg HTTP/1.1" 200 1269
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:21:09 +0900] "POST /petti/free/modify HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:21:09 +0900] "GET /petti/free/list HTTP/1.1" 200 14836
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:21:11 +0900] "GET /petti/free/get?pageNum=1&amount=10&cno=0&recommend=F&bno=854 HTTP/1.1" 200 9766
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:21:11 +0900] "GET /petti/resources/js/free/free_get.js HTTP/1.1" 200 2001
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:21:11 +0900] "GET /petti/resources/images/userImage.png HTTP/1.1" 200 75899
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:21:11 +0900] "GET /petti/resources/js/free/free_replyService.js HTTP/1.1" 200 1663
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:21:11 +0900] "GET /petti/resources/js/free/free_reply.js HTTP/1.1" 200 6240
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:21:11 +0900] "GET /petti/free/getAttachList?bno=854 HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:21:11 +0900] "GET /petti/freeReplies/pages/1/854 HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:21:11 +0900] "GET /petti/files/display?fileName=2023%2F08%2F23%2Fs_a26ffbbd-b394-455e-bd40-85e07ddf6c38_%EA%B3%A0%EC%96%91%EC%9D%B4.jpg HTTP/1.1" 200 1269
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:21:11 +0900] "GET /petti/resources/images/userImage.png HTTP/1.1" 200 75899
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:21:47 +0900] "GET /petti/files/display?fileName=2023%2F08%2F23%2Fa26ffbbd-b394-455e-bd40-85e07ddf6c38_%EA%B3%A0%EC%96%91%EC%9D%B4.jpg HTTP/1.1" 200 1694
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:21:50 +0900] "GET /petti/free/modify?bno=854&pageNum=1&amount=10 HTTP/1.1" 200 8725
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:21:50 +0900] "GET /petti/resources/js/free/free_modify.js HTTP/1.1" 200 7785
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:21:50 +0900] "GET /petti/free/getAttachList?bno=854 HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:21:50 +0900] "GET /petti/files/display?fileName=2023%2F08%2F23%2Fs_a26ffbbd-b394-455e-bd40-85e07ddf6c38_%EA%B3%A0%EC%96%91%EC%9D%B4.jpg HTTP/1.1" 200 1269
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:21:53 +0900] "GET /petti/files/display?fileName=2023%2F08%2F23%2Fa26ffbbd-b394-455e-bd40-85e07ddf6c38_%EA%B3%A0%EC%96%91%EC%9D%B4.jpg HTTP/1.1" 200 1694
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:21:53 +0900] "GET /petti/files/display?fileName=2023%2F08%2F23%2Fa26ffbbd-b394-455e-bd40-85e07ddf6c38_%EA%B3%A0%EC%96%91%EC%9D%B4.jpg HTTP/1.1" 200 1694
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:21:54 +0900] "GET /petti/free/getAttachFileInfo?uuid=a26ffbbd-b394-455e-bd40-85e07ddf6c38 HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:21:57 +0900] "POST /petti/free/modify HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:21:57 +0900] "GET /petti/free/list HTTP/1.1" 200 14836
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:21:59 +0900] "GET /petti/free/get?pageNum=1&amount=10&cno=0&recommend=F&bno=854 HTTP/1.1" 200 9766
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:21:59 +0900] "GET /petti/resources/js/free/free_get.js HTTP/1.1" 200 2001
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:21:59 +0900] "GET /petti/resources/images/userImage.png HTTP/1.1" 200 75899
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:21:59 +0900] "GET /petti/resources/js/free/free_replyService.js HTTP/1.1" 200 1663
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:21:59 +0900] "GET /petti/resources/js/free/free_reply.js HTTP/1.1" 200 6240
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:21:59 +0900] "GET /petti/free/getAttachList?bno=854 HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:21:59 +0900] "GET /petti/freeReplies/pages/1/854 HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:21:59 +0900] "GET /petti/files/display?fileName=2023%2F08%2F23%2Fs_a26ffbbd-b394-455e-bd40-85e07ddf6c38_%EA%B3%A0%EC%96%91%EC%9D%B4.jpg HTTP/1.1" 200 1269
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:21:59 +0900] "GET /petti/resources/images/userImage.png HTTP/1.1" 200 75899
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:23:21 +0900] "GET /petti/free/list HTTP/1.1" 200 14827
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:23:21 +0900] "GET /petti/free/get?pageNum=1&amount=10&cno=0&recommend=F&bno=854 HTTP/1.1" 200 9766
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:23:21 +0900] "GET /petti/resources/images/userImage.png HTTP/1.1" 200 75899
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:23:21 +0900] "GET /petti/resources/js/free/free_get.js HTTP/1.1" 200 2001
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:23:21 +0900] "GET /petti/resources/js/free/free_replyService.js HTTP/1.1" 200 1663
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:23:21 +0900] "GET /petti/resources/js/free/free_reply.js HTTP/1.1" 200 6240
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:23:21 +0900] "GET /petti/free/getAttachList?bno=854 HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:23:22 +0900] "GET /petti/freeReplies/pages/1/854 HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:23:22 +0900] "GET /petti/files/display?fileName=2023%2F08%2F23%2Fs_a26ffbbd-b394-455e-bd40-85e07ddf6c38_%EA%B3%A0%EC%96%91%EC%9D%B4.jpg HTTP/1.1" 200 1269
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:23:22 +0900] "GET /petti/resources/images/userImage.png HTTP/1.1" 200 75899
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:23:23 +0900] "GET /petti/free/modify?bno=854&pageNum=1&amount=10 HTTP/1.1" 200 8725
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:23:23 +0900] "GET /petti/resources/js/free/free_modify.js HTTP/1.1" 200 7783
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:23:23 +0900] "GET /petti/free/getAttachList?bno=854 HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:23:23 +0900] "GET /petti/files/display?fileName=2023%2F08%2F23%2Fs_a26ffbbd-b394-455e-bd40-85e07ddf6c38_%EA%B3%A0%EC%96%91%EC%9D%B4.jpg HTTP/1.1" 200 1269
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:23:25 +0900] "GET /petti/free/getAttachFileInfo?uuid=a26ffbbd-b394-455e-bd40-85e07ddf6c38 HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:23:26 +0900] "POST /petti/free/modify HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:23:27 +0900] "GET /petti/free/list HTTP/1.1" 200 14836
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:23:29 +0900] "GET /petti/free/get?pageNum=1&amount=10&cno=0&recommend=F&bno=854 HTTP/1.1" 200 9766
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:23:29 +0900] "GET /petti/resources/images/userImage.png HTTP/1.1" 200 75899
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:23:29 +0900] "GET /petti/resources/js/free/free_get.js HTTP/1.1" 200 2001
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:23:29 +0900] "GET /petti/resources/js/free/free_replyService.js HTTP/1.1" 200 1663
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:23:29 +0900] "GET /petti/resources/js/free/free_reply.js HTTP/1.1" 200 6240
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:23:29 +0900] "GET /petti/free/getAttachList?bno=854 HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:23:29 +0900] "GET /petti/freeReplies/pages/1/854 HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:23:29 +0900] "GET /petti/files/display?fileName=2023%2F08%2F23%2Fs_a26ffbbd-b394-455e-bd40-85e07ddf6c38_%EA%B3%A0%EC%96%91%EC%9D%B4.jpg HTTP/1.1" 200 1269
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:23:29 +0900] "GET /petti/resources/images/userImage.png HTTP/1.1" 200 75899
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:23:32 +0900] "GET /petti/free/modify?bno=854&pageNum=1&amount=10 HTTP/1.1" 200 8725
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:23:32 +0900] "GET /petti/resources/js/free/free_modify.js HTTP/1.1" 200 7783
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:23:32 +0900] "GET /petti/free/getAttachList?bno=854 HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:23:32 +0900] "GET /petti/files/display?fileName=2023%2F08%2F23%2Fs_a26ffbbd-b394-455e-bd40-85e07ddf6c38_%EA%B3%A0%EC%96%91%EC%9D%B4.jpg HTTP/1.1" 200 1269
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:23:37 +0900] "GET /petti/free/list?_csrf=3c97e513-218d-42db-a6bd-b9918d498480&cno=3&pageNum=1&amount=10 HTTP/1.1" 200 14835
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:23:39 +0900] "GET /petti/free/get?pageNum=1&amount=10&cno=3&recommend=F&bno=854 HTTP/1.1" 200 9766
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:23:39 +0900] "GET /petti/resources/js/free/free_get.js HTTP/1.1" 200 2001
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:23:39 +0900] "GET /petti/resources/images/userImage.png HTTP/1.1" 200 75899
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:23:39 +0900] "GET /petti/resources/js/free/free_replyService.js HTTP/1.1" 200 1663
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:23:39 +0900] "GET /petti/resources/js/free/free_reply.js HTTP/1.1" 200 6240
